title,wiki_id,url,general,subtopics,depth,split,text_source,dump_title,n_passages,text_sha256
"""U"" Is for Undertow",25577776,https://en.wikipedia.org/wiki/%22U%22%20Is%20for%20Undertow,books,novels,1,train,dump,"""U"" Is for Undertow",4,bab7cf4e64977a15f5798ee2c6a1014cbf8a254af660824d7e9316182929bdf7
+ h.c.,57497987,https://en.wikipedia.org/wiki/%2B%20h.c.,physics,classical_mechanics|quantum_mechanics,0,train,dump,+ h.c.,4,e46ff14bf1d6d2b94f1e1ef9933875ae77dc247a2213dcf946f328cce270572a
.ai,999231,https://en.wikipedia.org/wiki/.ai,technology,artificial_intelligence,0,train,dump,.ai,4,dbef5b14f0143c1d5804de911848cee9fa4fcfcb542d02fc0fba6ba5438a24b7
/dev/full,18429450,https://en.wikipedia.org/wiki//dev/full,technology,software,1,train,dump,/dev/full,4,c8e568c40de08566828a0a0b9bb0e212161cfa9bc4970cc8a0b13b7f4230ff66
07 Seconds or Less,21149068,https://en.wikipedia.org/wiki/07%20Seconds%20or%20Less,sports,basketball,2,val,dump,07 Seconds or Less,3,219a6eb53c5b744cb11c302b7c5449f42721c684e8e1d3c61a18d75b8a842462
1 point player,33788144,https://en.wikipedia.org/wiki/1%20point%20player,sports,basketball,2,test,dump,1 point player,4,38cd84c09a47d85baa09d17ba105117c36d6a6bb77ab6f38682481e6f97257b7
"1,1,3,3-Tetramethylguanidine",19832498,https://en.wikipedia.org/wiki/1%2C1%2C3%2C3-Tetramethylguanidine,chemistry,organic_chemistry,1,train,dump,"1,1,3,3-Tetramethylguanidine",4,98bae1bec4362f66160131d40995ce21cbc5647e880f396c3a00914558d9b86e
"1,3-dipole",4324086,https://en.wikipedia.org/wiki/1%2C3-dipole,chemistry,organic_chemistry,0,train,dump,"1,3-dipole",2,3938972490e40c78a3c47d18136ac783dfa1f6be4150f752e5a20e922c09ca85
"1,8-Diazabicyclo(5.4.0)undec-7-ene",1782065,https://en.wikipedia.org/wiki/1%2C8-Diazabicyclo%285.4.0%29undec-7-ene,chemistry,organic_chemistry,1,test,dump,"1,8-Diazabicyclo(5.4.0)undec-7-ene",4,c4dbb1b51155ac63d800c9854d0e9b7cd14b86f174402b72c31fb6f02cd8353d
1000 to 1: The Cory Weissman Story,46844685,https://en.wikipedia.org/wiki/1000%20to%201%3A%20The%20Cory%20Weissman%20Story,sports,basketball,2,val,dump,1000 to 1: The Cory Weissman Story,4,696d86d633d36bef3cf3930b002f7306a524fd49ecff2c346648db719e22feb4
10th Canadian Ministry,8405274,https://en.wikipedia.org/wiki/10th%20Canadian%20Ministry,history,world_wars,1,test,dump,10th Canadian Ministry,4,f4e69f42f16add5762914931775a4d9ed458e3a9647ba6f9f55bbc35e49fedaa
11/22/63,31058296,https://en.wikipedia.org/wiki/11/22/63,books,novels,1,train,dump,11/22/63,4,09b64b94cd7ad2b88cb1aee51cd13cc40eed8c222175ad108eb480b84a014642
12-Hydroxyeicosatetraenoic acid,24796896,https://en.wikipedia.org/wiki/12-Hydroxyeicosatetraenoic%20acid,biology,cell_biology,0,val,dump,12-Hydroxyeicosatetraenoic acid,4,7aa88632d8ccab7673adcd89469ef160185887833092ae6c2d295c085772b8e5
12th man (football),1009736,https://en.wikipedia.org/wiki/12th%20man%20%28football%29,sports,football,1,train,dump,12th man (football),4,a959abe1643da9998108ec271935facf08a55869bb1964eec4b9fd147b869945
13 Things That Don't Make Sense,28253247,https://en.wikipedia.org/wiki/13%20Things%20That%20Don%27t%20Make%20Sense,books,science_books,0,train,dump,13 Things That Don't Make Sense,4,1a3f78bc55be691b0650402027399ba3a0b588a9f8d61402df24c9a226f820af
15-Hydroxyeicosatetraenoic acid,44358555,https://en.wikipedia.org/wiki/15-Hydroxyeicosatetraenoic%20acid,biology,cell_biology,0,val,dump,15-Hydroxyeicosatetraenoic acid,4,d92a9d6f492bea3f50001350f30b888d83aaa7df915a6dee46a676852b331c90
150 personae non gratae of Turkey,5517100,https://en.wikipedia.org/wiki/150%20personae%20non%20gratae%20of%20Turkey,history,ottoman_history,1,train,dump,150 personae non gratae of Turkey,4,4aa5f0a01b47ae9bed4ba72a639d6a467b5b3c7dee930c41d3e7d6f93a5abb48
1757 Hajj caravan raid,47604947,https://en.wikipedia.org/wiki/1757%20Hajj%20caravan%20raid,history,ottoman_history,2,val,dump,1757 Hajj caravan raid,4,cd1936295e3839117e3c163c024b703dd81f786674b99fe8f4b4e92ccf4a1d10
1881 in association football,5788982,https://en.wikipedia.org/wiki/1881%20in%20association%20football,sports,football,2,test,dump,1881 in association football,4,5ad7fadcde2419990189a3966ad92ece4ca6ad48b3e264e3fd670436916c720b
1892 in association football,4328432,https://en.wikipedia.org/wiki/1892%20in%20association%20football,sports,football,2,val,dump,1892 in association football,1,48f1d75b683f27f5b4a7a72c3a2dea74e51cdf1a38751b9553bb73d976e11710
1900 Summer Olympics,169719,https://en.wikipedia.org/wiki/1900%20Summer%20Olympics,sports,olympics,2,test,dump,1900 Summer Olympics,4,f85de1902954eb347429e0c37e5b651695579f534a007f04110858402f4bd386
1902 in association football,4307657,https://en.wikipedia.org/wiki/1902%20in%20association%20football,sports,football,2,test,dump,1902 in association football,3,277bc2dbf4eb271027d46abeacf586f308b1c349863b6650b05cf239cd9831f0
1909 in association football,4307444,https://en.wikipedia.org/wiki/1909%20in%20association%20football,sports,football,2,test,dump,1909 in association football,4,34bfdd13c1b4bdd654970928f684144191d520f42cf58fcac675e1c0e4325aea
1911 in association football,4307382,https://en.wikipedia.org/wiki/1911%20in%20association%20football,sports,football,2,val,dump,1911 in association football,3,accb04f70705046c8ca87285f933aa34aa36ff49e2c9b4c690a35c0589704206
1914 Armenian reforms,14135935,https://en.wikipedia.org/wiki/1914%20Armenian%20reforms,history,ottoman_history,1,train,dump,1914 Armenian reforms,4,9ada99d3d3b8886abededff18a50b549bb56629f4f117782f73368a11525f064
1916 uprising in Hilla,62394642,https://en.wikipedia.org/wiki/1916%20uprising%20in%20Hilla,history,ottoman_history|world_wars,2,test,dump,1916 uprising in Hilla,4,6bda0e58e93b639bec6b8317126f893e6fbc53447b8605573b2e0211a9eb59cc
1917 Canadian federal election,943511,https://en.wikipedia.org/wiki/1917%20Canadian%20federal%20election,history,world_wars,1,test,legacy_dump,1917 Canadian federal election,4,2ed0d8e58f0d4ddc158de7278f18ba6939e73c76fc2ba97ab36380bbeecd4e3c
1928 Great Barrier Reef expedition,62515132,https://en.wikipedia.org/wiki/1928%20Great%20Barrier%20Reef%20expedition,science,history_of_science,1,test,dump,1928 Great Barrier Reef expedition,4,4932feef7430653a1f7e9719f11ad6767e706f67abb31cb322921071df43a15f
1940 British war cabinet crisis,2842933,https://en.wikipedia.org/wiki/1940%20British%20war%20cabinet%20crisis,history,world_wars,1,val,dump,1940 British war cabinet crisis,4,9099b2fe8f4445f7b6ad47ea48cfe64065a824d1b10c4d3b3e3848c345513c92
1947 in association football,4294784,https://en.wikipedia.org/wiki/1947%20in%20association%20football,sports,football,2,test,dump,1947 in association football,4,e1986ccb5750326918167772891d48e239ac2d98a8fbe056c12e9a8729e934dd
1948 American-Australian Scientific Expedition to Arnhem Land,22923559,https://en.wikipedia.org/wiki/1948%20American-Australian%20Scientific%20Expedition%20to%20Arnhem%20Land,science,history_of_science,1,val,dump,1948 American-Australian Scientific Expedition to Arnhem Land,4,1451826be81e71a68adfa2741baaf94b1fa565a191a20db81f52494ace1d3554
1953 in association football,4294541,https://en.wikipedia.org/wiki/1953%20in%20association%20football,sports,football,2,test,dump,1953 in association football,4,175f8ca82ddcea0ab09a16c9fadd25f233e3f55d928b6fb6e2d5b4998c5df080
1956 Olympic flame hoax,16794174,https://en.wikipedia.org/wiki/1956%20Olympic%20flame%20hoax,sports,olympics,1,train,dump,1956 Olympic flame hoax,4,ef4e33a3d22866177a4f264baca430cf64f6fc8ddc059b589fb997b5b5b5ccf5
1960 Winter Olympics medal table,967169,https://en.wikipedia.org/wiki/1960%20Winter%20Olympics%20medal%20table,sports,olympics,2,test,dump,1960 Winter Olympics medal table,4,e8fd986e652834bef1322cbe2bea1a0531ac595617433f3cbefba599b4d38921
1965 in association football,4294183,https://en.wikipedia.org/wiki/1965%20in%20association%20football,sports,football,2,val,dump,1965 in association football,4,72303582124926138b5572733b9e95e247cb0b8740a715019c5ee5e14c006c02
