title,wiki_id,url,category,split,text_sha256
Washing meat,67579838,https://en.wikipedia.org/wiki/Washing%20meat,Cooking_techniques,val,d4fd999c96a6b744e1e7ffd8c95f1ebe08fc55ab8d346f8d29116bf240500421
Infusion,3639992,https://en.wikipedia.org/wiki/Infusion,Cooking_techniques,val,9ce52c623bd3f36ed6a75082919bb8ffdc8422ca290723ce43d1c4488f083764
Low-temperature cooking,9461357,https://en.wikipedia.org/wiki/Low-temperature%20cooking,Cooking_techniques,val,6d229949c944f88c8897020ac96d8cf176fd45616ca1b96a9f9a76daa5de83ac
Discada,26762330,https://en.wikipedia.org/wiki/Discada,Cooking_techniques,val,43e7301571813e1b97a2c980b0310bc1f968d6e70853daff844f695abee6ca21
Smoke ring (cooking),54417758,https://en.wikipedia.org/wiki/Smoke%20ring%20%28cooking%29,Cooking_techniques,val,a46d50cc98855a6732b8b74e1c49bdc6b46f764c0f0c82bc4dc8bbf8487c9d35
Pressure frying,97841,https://en.wikipedia.org/wiki/Pressure%20frying,Cooking_techniques,val,1025a1190338855d5e8860b507c35f3bdd9d2f5b7d61d22e7bca41fccd0b61c1
Braising,52869,https://en.wikipedia.org/wiki/Braising,Cooking_techniques,val,f403f229e9dfd308799f1daf2b7eaa7ebbf644541ea751922d8db9367d4990ea
Rendering (animal products),885462,https://en.wikipedia.org/wiki/Rendering%20%28animal%20products%29,Cooking_techniques,val,4085d29b8815af6342b33899f5940d6471bfec2ad703ac763b48c80d3f08e152
Outdoor cooking,261250,https://en.wikipedia.org/wiki/Outdoor%20cooking,Cooking_techniques,val,f137e77b370d493401452dcfff49d7e7c5329057885db7561da459ab2435cbf9
Robatayaki,36500195,https://en.wikipedia.org/wiki/Robatayaki,Cooking_techniques,val,e16ea0026a99e7270070d8d95e14f33690a676b3238c7197715a4f327cb8b4a6
Steeping,1035742,https://en.wikipedia.org/wiki/Steeping,Cooking_techniques,val,18f940d9fa09ed5f70f72a1b71ef636bbc551fd7c220a634cf31a5073aa6c644
Boiling,52636,https://en.wikipedia.org/wiki/Boiling,Cooking_techniques,val,9f2090ade7938b71dc0a068acca53a80eb9fd0f1064fc9c4e924140cc6bda6cd
Stone boiling,58451340,https://en.wikipedia.org/wiki/Stone%20boiling,Cooking_techniques,val,07dcf78d4bf080f4dad3315ca4dfc50583094372fb63ac68cd7df35d79511ae4
Frying,26301130,https://en.wikipedia.org/wiki/Frying,Cooking_techniques,val,74d8aea79742cb25f8a3714125c3f1bd44c3fcfaa730ae3ed88ff972a7a0ea82
Flambé,1028618,https://en.wikipedia.org/wiki/Flamb%C3%A9,Cooking_techniques,val,94e9394b458bd99e406bc318ea53cdd357462c67c00b9e7dad48cf46ef734427
Concasse,9326866,https://en.wikipedia.org/wiki/Concasse,Cooking_techniques,val,d18dc0e9d973db63ab997f19505a29da164ecd5bc3531a8002f4d84bef7fc8ab
Pickling,2259607,https://en.wikipedia.org/wiki/Pickling,Cooking_techniques,val,bc78d2848cbd83da2cfd604219caded61a3608ddd1f10b8e879a258e7ed375a0
Food drying,158573,https://en.wikipedia.org/wiki/Food%20drying,Cooking_techniques,val,8e718a38067d3f5e261d7436150d1283180d40d327ba6fa6d7682a50c1c121c6
Reduction (cooking),865170,https://en.wikipedia.org/wiki/Reduction%20%28cooking%29,Cooking_techniques,val,88ffc47739677e39997fcc30ed29c756e608425263b8d90a9fb343836304763b
Pan frying,52985,https://en.wikipedia.org/wiki/Pan%20frying,Cooking_techniques,val,e42bae94fb4dde361a15866c1a71932f0b65786aebe4c73c5ebed38477a1bc83
Jugging,2458852,https://en.wikipedia.org/wiki/Jugging,Cooking_techniques,val,169b65b20279ebde1f56743985221c5a91d3bc6cf4b3f8e4c813acb308f8f340
Brining,52865,https://en.wikipedia.org/wiki/Brining,Cooking_techniques,val,137c18e5cfe911b080bdc10100d0cb384c5ffac6530dce73979b5f307854170f
Carryover cooking,3058393,https://en.wikipedia.org/wiki/Carryover%20cooking,Cooking_techniques,val,22bbb5dd7bfc302a977a0c4aeb6dbc1dfa7ca3afa18d8d04ad000e13ea8f35be
Conching,1247202,https://en.wikipedia.org/wiki/Conching,Cooking_techniques,val,e419f1bff0154142b65933540a90fcd234e134e36660f34e31bdebe926331348
